handle,title,product_category,price,compare_at_price,spec.summary,spec.fit_cut,category:neckline,category:sleeve_length_type,category:fabric,category:target_gender,category:clothing_features,spec.fabric_weight_gsm,fit.model_height,fit.model_size_worn,fit.runs_true_to_size,spec.size_chart,spec.care_instructions,spec.details,description
painted-cropped-jacket,Painted Cropped Jacket,Apparel & Accessories > Clothing > Outerwear > Coats & Jackets,1850.00,,"Cropped cotton twill, hand-painted at the shoulder in smoke and ink.",Sculptural,Collared,Three-quarter,"100% cotton twill, hand-painted",Women,"Hand-painted, no two alike | Concealed front zip | Turned cuff | Stand collar",340,178 cm,S,small,tops-garment,Specialist dry clean only | Do not press the painted panel | Store on a padded hanger,"Made to order, 4–6 weeks | Painted in the atelier | Model wears size S","Cut short and square in a dense unbleached cotton twill, then painted by hand across the yoke so the motif runs down over the chest and fades out. Every piece is painted individually, so no two fall the same way. Three-quarter sleeves with a turned cuff, concealed centre-front zip, and a stand collar cut to sit open."
painted-shoulder-capelet,Painted Shoulder Capelet,Apparel & Accessories > Clothing > Outerwear > Coats & Jackets,1240.00,,"Structured capelet, painted across both shoulders, cut to sit over a column.",Sculptural,Open,Sleeveless,"100% cotton twill, hand-painted",Women,"Hand-painted, no two alike | Structured shoulder | Single hook closure",340,178 cm,S,true,tops-garment,Specialist dry clean only | Do not press the painted panel | Store flat,"Made to order, 4–6 weeks | Painted in the atelier | Model wears size S","A short structured capelet in the same painted cotton, cut with a firm shoulder line so it holds its shape away from the body. Designed to sit over a narrow column dress without crushing the sleeve. Fastens with a single hook at the throat."
structured-peplum-vest,Structured Peplum Vest,Apparel & Accessories > Clothing > Shirts & Tops,980.00,,Sleeveless wool crepe with a sharp peplum and sculptural buttons.,Fitted,Round,Sleeveless,"98% wool crepe, 2% elastane",Women,Carved resin buttons | Structured peplum | Fully lined | Boned side seams,280,175 cm,S,small,tops-garment,Dry clean only | Cool iron on the reverse | Do not iron the buttons,Made in the atelier | Carved resin buttons | Model wears size S,"Sleeveless and closely fitted through the body, breaking into a short firm peplum at the hip. Cut from a dry wool crepe that holds an edge. The buttons are carved individually in resin and no two are identical — they are the reason the front is otherwise entirely plain."
painted-peplum-top,Painted Peplum Top,Apparel & Accessories > Clothing > Shirts & Tops,1480.00,,Raw silk with a mandarin collar and the motif painted across the bodice.,Fitted,Mandarin,Sleeveless,"100% raw silk, hand-painted",Women,"Hand-painted, no two alike | Concealed front zip | Mandarin collar | Structured peplum",220,175 cm,S,small,tops-garment,Specialist dry clean only | Do not press the painted panel | Silk marks with water,"Made to order, 4–6 weeks | Undyed raw silk | Model wears size S","Raw silk in its undyed state, slubbed and matte, cut close through the bodice with a mandarin collar and a concealed front zip. The painting runs across the chest rather than the shoulder here, so it reads as a panel rather than a fall. Short structured peplum."
silk-mandarin-blouse,Silk Mandarin Blouse,Apparel & Accessories > Clothing > Shirts & Tops,760.00,,"Long-sleeve raw silk blouse, unpainted, cut to layer under the painted pieces.",Tailored,Mandarin,Long,100% raw silk,Women,Covered buttons | Mandarin collar | Cut to layer,180,175 cm,M,true,tops-garment,Dry clean recommended | Cool iron on the reverse | Silk marks with water,Made in the atelier | Undyed raw silk | Model wears size M,"The quiet piece in the collection. Long sleeves, mandarin collar, no painting — made to sit under the capelet or jacket without competing. Cut slightly looser through the body than the peplum styles so it layers cleanly."
fluted-column-skirt,Fluted Column Skirt,Apparel & Accessories > Clothing > Skirts,890.00,,"Black wool crepe, narrow to the knee then released into a soft flute.",Fitted,,,"98% wool crepe, 2% elastane",Women,Fluted hem | Concealed side zip | No waistband | Fully lined,280,175 cm,S,true,skirts-garment,Dry clean only | Cool iron on the reverse | Hang to store,Made in the atelier | Hem finished by hand | Model wears size S,"Cut narrow through the hip and thigh, then released below the knee into a fluted hem that moves without adding width. Wool crepe with a dry hand so the line stays clean. Concealed side zip, no waistband — the skirt sits directly on the waist."
raw-silk-fluted-skirt,Raw Silk Fluted Skirt,Apparel & Accessories > Clothing > Skirts,1150.00,,"Floor-length raw silk, cut to match the painted peplum top.",Draped,,,100% raw silk,Women,Floor length | Fluted hem | Hand-finished hem | Concealed side zip,220,175 cm,S,true,skirts-garment,Dry clean only | Silk marks with water | Hang to store,"Made to order, 4–6 weeks | Cut from the same bolt as the peplum top | Model wears size S",The same narrow-to-fluted line taken to the floor in undyed raw silk. Cut from the same bolt as the painted peplum top so the two read as one piece. Hem finished by hand and left slightly heavy so it falls straight.
column-gown,Column Gown,Apparel & Accessories > Clothing > Dresses,2380.00,,"Floor-length black crepe, high neck and long sleeves, cut in one clean line.",Draped,High neck,Long,100% silk crepe,Women,Cut on the bias | Invisible back zip | Hand-finished hem | Cut to wear with a heel,260,180 cm,S,true,dresses-garment,Specialist dry clean only | Store on a padded hanger | Do not fold,"Made to order, 6–8 weeks | Hem cut to your height at fitting | Model wears size S","Entirely undecorated by intention — this is the ground the painted pieces are worn against. High neck, long fitted sleeves, and a narrow column that skims from shoulder to floor without a seam breaking the line. Cut on a slight bias so it moves with the body rather than against it."
painted-column-gown,Painted Column Gown,Apparel & Accessories > Clothing > Dresses,3200.00,,The column gown with the motif painted directly onto the bodice.,Draped,High neck,Long,"100% silk crepe, hand-painted",Women,Painted on the finished garment | One of a kind | Cut on the bias | Hand-finished hem,260,180 cm,S,true,dresses-garment,Specialist dry clean only | Do not press the painted panel | Store on a padded hanger,"Made to order, 8–10 weeks | Painted individually — no two alike | Model wears size S","The same bias-cut column, painted directly rather than worn under a capelet. The motif begins at the shoulder and falls through the bodice, breaking before the hip so the line below stays uninterrupted. One of a kind by definition — each is painted on the finished garment."
painted-overshirt,Painted Overshirt,Apparel & Accessories > Clothing > Outerwear > Coats & Jackets,1420.00,,"Longer, looser painted cotton — the collection's most wearable piece.",Draped,Collared,Long,"100% cotton twill, hand-painted",Women,"Hand-painted, no two alike | Patch pockets | Soft shoulder | Cut to layer",340,178 cm,M,large,tops-garment,Specialist dry clean only | Do not press the painted panel | Hang to store,"Made to order, 4–6 weeks | Painted in the atelier | Model wears size M","Cut longer and considerably easier than the cropped jacket, in the same painted cotton twill. Patch pockets, a soft shoulder, and enough room to go over the mandarin blouse. The piece people buy when they want the painting and wear it daily."
