handle,option1_colour,colour_hex,option2_size,sku,inventory_quantity
everyday-crew,Chalk,#F2F0EA,XS,001-01-XS,6
everyday-crew,Chalk,#F2F0EA,S,001-01-S,14
everyday-crew,Chalk,#F2F0EA,M,001-01-M,4
everyday-crew,Chalk,#F2F0EA,L,001-01-L,11
everyday-crew,Chalk,#F2F0EA,XL,001-01-XL,5
everyday-crew,Chalk,#F2F0EA,XXL,001-01-XXL,2
everyday-crew,Ink,#1E1E1C,XS,001-02-XS,4
everyday-crew,Ink,#1E1E1C,S,001-02-S,9
everyday-crew,Ink,#1E1E1C,M,001-02-M,12
everyday-crew,Ink,#1E1E1C,L,001-02-L,8
everyday-crew,Ink,#1E1E1C,XL,001-02-XL,6
everyday-crew,Ink,#1E1E1C,XXL,001-02-XXL,3
everyday-crew,Heathered Oat,#C9BFAB,XS,001-03-XS,0
everyday-crew,Heathered Oat,#C9BFAB,S,001-03-S,5
everyday-crew,Heathered Oat,#C9BFAB,M,001-03-M,7
everyday-crew,Heathered Oat,#C9BFAB,L,001-03-L,4
everyday-crew,Heathered Oat,#C9BFAB,XL,001-03-XL,0
everyday-crew,Heathered Oat,#C9BFAB,XXL,001-03-XXL,0
everyday-crew,Slate,#5A6068,XS,001-04-XS,3
everyday-crew,Slate,#5A6068,S,001-04-S,8
everyday-crew,Slate,#5A6068,M,001-04-M,9
everyday-crew,Slate,#5A6068,L,001-04-L,7
everyday-crew,Slate,#5A6068,XL,001-04-XL,4
everyday-crew,Slate,#5A6068,XXL,001-04-XXL,1
everyday-crew,Faded Olive,#6E7355,XS,001-05-XS,2
everyday-crew,Faded Olive,#6E7355,S,001-05-S,4
everyday-crew,Faded Olive,#6E7355,M,001-05-M,0
everyday-crew,Faded Olive,#6E7355,L,001-05-L,6
everyday-crew,Faded Olive,#6E7355,XL,001-05-XL,3
everyday-crew,Faded Olive,#6E7355,XXL,001-05-XXL,0
boxy-pocket-tee,Sand,#D6C9B0,XS,002-01-XS,0
boxy-pocket-tee,Sand,#D6C9B0,S,002-01-S,7
boxy-pocket-tee,Sand,#D6C9B0,M,002-01-M,0
boxy-pocket-tee,Sand,#D6C9B0,L,002-01-L,6
boxy-pocket-tee,Sand,#D6C9B0,XL,002-01-XL,3
boxy-pocket-tee,Sand,#D6C9B0,XXL,002-01-XXL,0
boxy-pocket-tee,Ink,#1E1E1C,XS,002-02-XS,0
boxy-pocket-tee,Ink,#1E1E1C,S,002-02-S,6
boxy-pocket-tee,Ink,#1E1E1C,M,002-02-M,0
boxy-pocket-tee,Ink,#1E1E1C,L,002-02-L,9
boxy-pocket-tee,Ink,#1E1E1C,XL,002-02-XL,4
boxy-pocket-tee,Ink,#1E1E1C,XXL,002-02-XXL,0
boxy-pocket-tee,Burnt Rust,#9A5A3C,XS,002-03-XS,0
boxy-pocket-tee,Burnt Rust,#9A5A3C,S,002-03-S,3
boxy-pocket-tee,Burnt Rust,#9A5A3C,M,002-03-M,0
boxy-pocket-tee,Burnt Rust,#9A5A3C,L,002-03-L,4
boxy-pocket-tee,Burnt Rust,#9A5A3C,XL,002-03-XL,2
boxy-pocket-tee,Burnt Rust,#9A5A3C,XXL,002-03-XXL,0
long-sleeve-henley,Heathered Oat,#C9BFAB,XS,003-01-XS,3
long-sleeve-henley,Heathered Oat,#C9BFAB,S,003-01-S,8
long-sleeve-henley,Heathered Oat,#C9BFAB,M,003-01-M,10
long-sleeve-henley,Heathered Oat,#C9BFAB,L,003-01-L,7
long-sleeve-henley,Heathered Oat,#C9BFAB,XL,003-01-XL,4
long-sleeve-henley,Heathered Oat,#C9BFAB,XXL,003-01-XXL,0
long-sleeve-henley,Deep Navy,#252F45,XS,003-02-XS,2
long-sleeve-henley,Deep Navy,#252F45,S,003-02-S,6
long-sleeve-henley,Deep Navy,#252F45,M,003-02-M,9
long-sleeve-henley,Deep Navy,#252F45,L,003-02-L,8
long-sleeve-henley,Deep Navy,#252F45,XL,003-02-XL,5
long-sleeve-henley,Deep Navy,#252F45,XXL,003-02-XXL,0
long-sleeve-henley,Clay,#A8735C,XS,003-03-XS,0
long-sleeve-henley,Clay,#A8735C,S,003-03-S,2
long-sleeve-henley,Clay,#A8735C,M,003-03-M,4
long-sleeve-henley,Clay,#A8735C,L,003-03-L,3
long-sleeve-henley,Clay,#A8735C,XL,003-03-XL,0
long-sleeve-henley,Clay,#A8735C,XXL,003-03-XXL,0
ribbed-tank,Chalk,#F2F0EA,XS,004-01-XS,8
ribbed-tank,Chalk,#F2F0EA,S,004-01-S,12
ribbed-tank,Chalk,#F2F0EA,M,004-01-M,10
ribbed-tank,Chalk,#F2F0EA,L,004-01-L,6
ribbed-tank,Chalk,#F2F0EA,XL,004-01-XL,0
ribbed-tank,Chalk,#F2F0EA,XXL,004-01-XXL,0
ribbed-tank,Ink,#1E1E1C,XS,004-02-XS,7
ribbed-tank,Ink,#1E1E1C,S,004-02-S,11
ribbed-tank,Ink,#1E1E1C,M,004-02-M,9
ribbed-tank,Ink,#1E1E1C,L,004-02-L,5
ribbed-tank,Ink,#1E1E1C,XL,004-02-XL,0
ribbed-tank,Ink,#1E1E1C,XXL,004-02-XXL,0
oxford-button-down,Chalk,#F2F0EA,XS,005-01-XS,4
oxford-button-down,Chalk,#F2F0EA,S,005-01-S,10
oxford-button-down,Chalk,#F2F0EA,M,005-01-M,12
oxford-button-down,Chalk,#F2F0EA,L,005-01-L,9
oxford-button-down,Chalk,#F2F0EA,XL,005-01-XL,5
oxford-button-down,Chalk,#F2F0EA,XXL,005-01-XXL,2
oxford-button-down,Oxford Blue,#8FA6C4,XS,005-02-XS,3
oxford-button-down,Oxford Blue,#8FA6C4,S,005-02-S,9
oxford-button-down,Oxford Blue,#8FA6C4,M,005-02-M,0
oxford-button-down,Oxford Blue,#8FA6C4,L,005-02-L,8
oxford-button-down,Oxford Blue,#8FA6C4,XL,005-02-XL,4
oxford-button-down,Oxford Blue,#8FA6C4,XXL,005-02-XXL,1
oxford-button-down,Blue Stripe,#B9C9DC,XS,005-03-XS,2
oxford-button-down,Blue Stripe,#B9C9DC,S,005-03-S,6
oxford-button-down,Blue Stripe,#B9C9DC,M,005-03-M,7
oxford-button-down,Blue Stripe,#B9C9DC,L,005-03-L,5
oxford-button-down,Blue Stripe,#B9C9DC,XL,005-03-XL,3
